time,n_sat,x,y,z,dt_u,rms
2026-04-26T12:24:00,11,3512850.741177351,2068988.6142540833,4888981.719716748,6.786372284973299e-08,53.43276525617774
2026-04-26T12:24:30,11,3512850.1219385434,2068987.80815892,4888980.886297624,6.426222494376939e-08,52.71233657003829
2026-04-26T12:25:00,11,3512849.483913357,2068986.2071102127,4888979.801140246,5.9107707217818855e-08,53.00340192130982
2026-04-26T12:25:30,11,3512848.99553072,2068986.2530898184,4888979.7041429365,5.820846820866274e-08,52.21861274365693
2026-04-26T12:26:00,11,3512848.7020260976,2068985.541151057,4888979.024616562,5.604197884461415e-08,52.03921249248435
2026-04-26T12:26:30,11,3512847.827515887,2068985.0925469676,4888978.147129746,5.290399581732444e-08,51.29921697095139
2026-04-26T12:27:00,11,3512847.3405005326,2068984.4377209723,4888977.437138693,4.9603884344145385e-08,51.167173074921244
2026-04-26T12:27:30,11,3512847.278698952,2068984.499148579,4888977.296245267,4.872768015563684e-08,50.85621957283783
2026-04-26T12:28:00,11,3512846.7600617604,2068983.4059745178,4888977.199143807,4.758442215669883e-08,50.79444073089713
2026-04-26T12:28:30,11,3512846.6423172634,2068983.2223376047,4888976.966989112,4.5834120068032466e-08,50.37029386123167
2026-04-26T12:29:00,11,3512846.437420851,2068982.4752820928,4888976.178260989,4.3096261812132806e-08,49.88115127506779
2026-04-26T12:29:30,11,3512846.0380987786,2068982.2243446019,4888976.001397621,4.176762301634579e-08,50.02753179095407
2026-04-26T12:30:00,11,3512846.2456137114,2068981.578794711,4888975.936095595,4.1542360367089076e-08,49.351357318990345
2026-04-26T12:30:30,11,3512845.537589973,2068981.2304324787,4888975.336200699,3.906333135239799e-08,49.22559703927112
2026-04-26T12:31:00,11,3512845.326017738,2068981.04607189,4888975.760492546,3.908198767221009e-08,48.91974780712962
2026-04-26T12:31:30,11,3512845.4010550007,2068981.1860416979,4888975.443948096,3.850593733088645e-08,48.34135395255784
2026-04-26T12:32:00,11,3512845.460548274,2068980.7726385072,4888975.220763582,3.742593219794223e-08,47.90993025896097
2026-04-26T12:32:30,11,3512844.9857467595,2068980.7257673957,4888974.681685366,3.5686068306156566e-08,47.571256712595684
2026-04-26T12:33:00,11,3512845.379131576,2068980.3415547013,4888974.82201168,3.5390520259545766e-08,47.32195277144928
2026-04-26T12:33:30,11,3512845.570180377,2068980.2408410984,4888975.181167177,3.610340238158918e-08,46.98460708263784
2026-04-26T12:34:00,11,3512846.1322045014,2068980.0082640052,4888975.769489454,3.7860902450288034e-08,46.77030552513433
2026-04-26T12:34:30,12,3512883.0532577643,2069026.386029457,4888975.149307335,1.3008127574739072e-07,63.01035217733894
2026-04-26T12:35:00,12,3512883.1747833197,2069025.9307749663,4888974.82628179,1.2867469404581938e-07,62.56424900380547
2026-04-26T12:35:30,12,3512882.668048373,2069025.705662486,4888974.807434025,1.2782607283337062e-07,62.07625268896739
2026-04-26T12:36:00,12,3512882.8576671304,2069025.0609344568,4888974.610572436,1.2816566023043428e-07,61.20850325919963
2026-04-26T12:36:30,12,3512882.457471545,2069025.2995787056,4888974.769550498,1.272261845008465e-07,60.737179705400735
2026-04-26T12:37:00,11,3512926.8845422147,2069037.0183658723,4888979.83886463,2.1196933426085981e-07,43.50886943182602
2026-04-26T12:37:30,11,3512925.9473664467,2069036.6608128333,4888980.116921161,2.1036902603999524e-07,43.225993043971684
2026-04-26T12:38:00,11,3512925.6733565866,2069036.7882772433,4888980.676842701,2.1073871818628761e-07,43.701270778752715
2026-04-26T12:38:30,11,3512925.3437196747,2069036.8931281508,4888980.931694571,2.0997568266284517e-07,43.558713881284724
2026-04-26T12:39:00,11,3512924.151876397,2069036.3278245002,4888981.534980615,2.08515992350461e-07,43.66676589631602
2026-04-26T12:39:30,11,3512924.616969916,2069036.928481222,4888982.376954693,2.1039294241731137e-07,43.53558281249335
2026-04-26T12:40:00,11,3512923.110217231,2069036.3225680517,4888982.632346343,2.0805324937234745e-07,43.55900056230292
2026-04-26T12:40:30,11,3512922.45138237,2069036.0837559893,4888982.8488516435,2.0705092730896407e-07,43.5038628477972
2026-04-26T12:41:00,11,3512922.3422628473,2069036.4397844844,4888983.541920683,2.0766946232031508e-07,43.82839278428128
2026-04-26T12:41:30,11,3512922.028540645,2069035.6836832215,4888984.243054651,2.0696554863701296e-07,43.78963582599417
2026-04-26T12:42:00,11,3512920.92649153,2069035.8180757025,4888985.152398685,2.069978865313592e-07,44.03068418011483
2026-04-26T12:42:30,11,3512921.069880994,2069035.9754544804,4888985.675776148,2.0785688564355746e-07,43.93125340745076
2026-04-26T12:43:00,11,3512920.718857595,2069036.217596338,4888986.063966727,2.0785274923378368e-07,44.174373510087996
2026-04-26T12:43:30,11,3512920.069997419,2069035.6666192075,4888986.643757531,2.060032282635013e-07,44.22758450436625
2026-04-26T12:44:00,11,3512919.609952534,2069036.1382961958,4888987.639296743,2.0777655372447825e-07,44.48693067209436
2026-04-26T12:44:30,11,3512919.07328021,2069035.8789178138,4888988.490711016,2.0714404907132815e-07,44.47905559560205
2026-04-26T12:45:00,11,3512918.3881345843,2069035.8287666924,4888989.658491911,2.0795089483205584e-07,44.75394679959208
2026-04-26T12:45:30,11,3512918.5453384626,2069036.0251738082,4888990.169501988,2.0853118651059632e-07,44.748153507377125
2026-04-26T12:46:00,11,3512918.053887178,2069035.972334789,4888990.684456486,2.0853685105319502e-07,45.08240507219002
2026-04-26T12:46:30,11,3512917.7431366043,2069035.9880025466,4888992.041417441,2.0940573611046682e-07,45.02742218166644
2026-04-26T12:47:00,11,3512917.246708281,2069036.339487763,4888992.864257936,2.1052874268475193e-07,45.27605264266209
2026-04-26T12:47:30,11,3512916.6239489093,2069036.7000348277,4888993.991756012,2.1130445924749548e-07,45.29820481038045
2026-04-26T12:48:00,11,3512916.5150594516,2069036.523444698,4888995.2232798925,2.1259289978118242e-07,45.659387540939505
2026-04-26T12:48:30,11,3512915.516754956,2069036.2658455302,4888996.302105922,2.1218862760115905e-07,45.880053976097564
2026-04-26T12:49:00,11,3512915.6520085246,2069036.8947081445,4888997.528568227,2.1500566684951948e-07,46.02569661136913
2026-04-26T12:49:30,11,3512915.241873776,2069037.073123797,4888998.733704169,2.166378818334199e-07,46.24409884665737
2026-04-26T12:50:00,11,3512915.3657196485,2069037.103115647,4888999.760659433,2.1742256222261222e-07,46.67997236962951
2026-04-26T12:50:30,11,3512914.800665566,2069037.3815239053,4889001.797182427,2.2004087260374612e-07,46.64007840301802
2026-04-26T12:51:00,11,3512914.695693734,2069037.9149625096,4889004.384693892,2.2366423007351677e-07,47.088350088408724
