t,prn,x,y,z,vx,vy,vz,clock
105600.0,31,-2527713.6963161286,-18581430.062073335,18401645.074505795,2003.5659407468922,1349.1163107950886,1642.6393173167241,-0.00015284032600843144
106200.0,31,-1283796.3486984782,-17770844.460403316,19313185.86861439,2140.9033209941654,1349.346463195865,1393.8370930709698,-0.00015284106569738787
106800.0,31,38537.56582209375,-16966083.663551744,20072071.276246507,2264.557415304026,1329.9422935398163,1134.1460363989513,-0.00015284177162888397
107400.0,31,1430353.8043795303,-16178532.74357421,20672405.034690276,2372.147900416361,1292.2788003315372,865.6951566630281,-0.00015284242693271125
108000.0,31,2881362.0145592727,-15418655.022422004,21109589.792914264,2461.540149714894,1238.0467670617395,590.6826970040458,-0.00015284301517592668
108600.0,31,4380075.043977205,-14695812.611878326,21380362.07668032,2530.8843116414346,1169.2186511072068,311.3546735878112,-0.00015284352050286715
109200.0,31,5913990.018668484,-14018109.034267766,21482814.32381187,2578.648787719787,1088.0092763625717,29.983158580442343,-0.0001528439277686288
109800.0,31,7469787.643960573,-13392256.780132277,21416403.940790746,2603.647483366196,996.8321901607403,-251.15537310975134,-0.00015284422266460175
110400.0,31,9033545.852411546,-12823472.117221598,21181949.51674587,2605.0603553643236,898.2526274987722,-529.8013256199469,-0.00015284439183480155
111000.0,31,10590963.686313152,-12315398.882434003,20781614.505800366,2582.446938388102,794.9380816528335,-803.7326045909706,-0.0001528444229819072
111600.0,31,12127591.160209332,-11870062.38063534,20218878.849794004,2535.7526941587057,689.6075093324872,-1070.784318754433,-0.0001528443049620998
112200.0,31,13629060.80197927,-11487853.897460807,19498499.15740196,2465.3081858077344,584.9802010030073,-1328.8673306540704,-0.0001528440278679858
112800.0,31,15081316.61667007,-11167545.722593345,18626458.18017881,2371.821232270273,483.72532423864914,-1575.985461907766,-0.00015284358309908302
113400.0,31,16470836.350381907,-10906335.989905125,17609904.429395724,2256.362339095114,388.41310210551546,-1810.2511962422914,-0.00015284296341953963
114000.0,31,17784843.144948628,-10699922.084089415,16457082.85881105,2120.3438296689155,301.46852239664827,-2029.8997623678392,-0.00015284216300293907
114600.0,31,19011502.959078122,-10542600.85108334,15177257.597561512,1965.4932120012504,225.12839030332884,-2233.30151727022,-0.0001528411774642179
115200.0,31,20140104.47791384,-10427393.390809864,13780627.75470732,1793.8214091940451,161.402440333477,-2418.9725874838405,-0.00015284000387888133
115800.0,31,21161218.62974699,-10346191.81258104,12278237.33371745,1607.586555580112,112.03911661028837,-2585.583760342412,-0.00015283864078984136
116400.0,31,22066835.264524933,-10289925.000852596,10681880.29296348,1409.254115044482,78.49651767240584,-2731.9676482572786,-0.00015283708820232512
117000.0,31,22850475.012564626,-10248740.174804784,9004001.769103007,1201.454113661471,61.9188859243734,-2857.1241761309448,-0.00015283534756740163
117600.0,31,23507274.82251217,-10212196.830455396,7257596.4463674305,986.9362964529731,63.11890601958521,-2960.2244646713507,-0.00015283342175475659
118200.0,31,24034046.164738953,-10169469.527992731,5456105.0087055955,768.5240191906531,82.56596337690303,-3040.6132004275796,-0.00015283131501540577
